Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
5,J. Parker,PAR,F,2.20,11.4,−0.4,1,24,1,3,4,3,2,0,0,1,9,11.1,1,5,20.0,0,0,0.0,0,4,1,2,1,0
6,D. Hackett,VIR,G,2.00,5.8,−0.2,1,20,0,4,2,2,0,0,0,0,3,0.0,0,3,0.0,4,4,100.0,0,2,3,4,4,-5
7,R. Smits,EFS,F,2.00,6.3,−0.2,1,17,0,2,2,1,0,1,0,1,4,25.0,0,1,0.0,0,0,0.0,0,2,1,0,0,10
8,I. Wainright,HTA,F,2.00,8.2,−0.3,1,20,1,2,1,2,1,0,1,0,4,0.0,0,3,0.0,2,2,100.0,0,1,0,1,2,-13
9,M. Ndiaye,ASV,C,2.00,6.7,−0.2,1,18,0,4,3,0,0,0,0,2,4,50.0,0,1,0.0,0,0,0.0,1,2,1,3,1,-5
10,J. Clark Iii,MTA,G,1.10,8.0,−0.4,1,18,0,0,2,5,1,0,0,0,6,0.0,0,3,0.0,0,0,0.0,1,1,1,0,0,13
11,V. Marinkovic,PAR,F,1.10,7.1,−0.3,1,9,0,0,2,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,0,2,0,10
12,W. Rayman,MTA,F,1.10,4.5,−0.2,1,9,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,2,2,0
13,M. Faye,PBB,C,1.10,7.3,−0.3,1,14,1,6,3,0,1,1,1,3,6,50.0,0,0,0.0,0,0,0.0,2,1,3,3,0,9
14,M. Howard,BKN,G,1.00,8.2,−0.4,1,21,1,0,1,2,3,0,0,0,4,0.0,0,4,0.0,0,0,0.0,0,1,1,1,1,1
15,Q. Ellis,EA7,G,1.00,6.5,−0.3,1,18,0,2,3,2,0,0,0,0,4,0.0,0,1,0.0,2,2,100.0,1,2,1,3,2,4
1,G. Ricci,EA7,F,1.00,4.9,−0.2,1,11,0,0,4,0,0,0,0,0,2,0.0,0,2,0.0,0,0,0.0,0,4,0,1,0,-12
2,K. Jallow,VIR,F,1.00,8.7,−0.3,1,18,1,1,1,1,1,0,0,0,2,0.0,0,0,0.0,1,2,50.0,0,1,2,1,3,-11
3,G. Papagiannis,EFS,C,1.00,7.7,−0.3,1,17,0,2,2,2,1,0,0,1,4,25.0,0,2,0.0,0,0,0.0,0,2,1,3,1,-3
4,T. Odiase,HTA,C,1.00,7.9,−0.3,1,5,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
5,S. Hazer,EFS,G,0.00,5.3,−0.3,1,3,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,-7
6,C. Swider,EFS,F,0.00,9.7,−0.5,1,5,0,3,0,0,0,0,0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,1,2,0,-4
7,J. Morgan,PBB,F,0.00,7.8,−0.4,1,21,1,2,2,0,0,1,0,1,6,16.7,0,4,0.0,0,0,0.0,2,0,0,2,2,9
8,G. Grinvalds,RMB,F,0.00,4.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,-4
9,D. Lighty,ASV,F,0.00,5.7,−0.2,1,22,0,0,3,2,0,0,0,0,3,0.0,0,1,0.0,0,0,0.0,1,2,1,2,1,-1
10,K. Hayes,ASM,C,0.00,6.2,−0.3,1,12,0,2,1,0,0,1,0,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,2,0,-5
11,K. Jones,EFS,C,0.00,10.2,−0.5,1,6,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,1,0,-13
12,M. Grigonis,PAO,G,-0.90,6.8,−0.4,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,-3
13,I. Almansa,RMB,F,-0.90,6.1,−0.3,1,5,0,2,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,1,2,0,-2
14,M. Spagnolo,BKN,G,-1.00,7.0,−0.4,1,9,0,1,0,1,0,0,0,0,1,0.0,0,0,0.0,1,2,50.0,0,0,1,1,1,-6
15,L. Bolmaro,EA7,G,-1.00,8.3,−0.4,1,13,1,8,1,0,0,0,1,3,7,42.9,2,3,66.7,0,0,0.0,0,1,1,4,0,-13
1,A. Atamna,ASV,G,-1.00,4.0,−0.2,1,14,0,3,2,0,1,1,0,1,6,16.7,1,5,20.0,0,0,0.0,1,1,1,3,1,0
2,D. Alston Jr.,VIR,F,-1.00,8.7,−0.5,1,17,1,3,2,3,1,0,0,1,4,25.0,1,3,33.3,0,0,0.0,0,2,4,3,0,-17
3,J. Motley,HTA,C,-1.00,12.2,−0.6,1,10,0,2,1,1,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,1,2,3,0,0
4,J. Grant,PAO,G,-1.80,9.6,−0.5,1,21,1,2,0,2,1,1,0,1,3,33.3,0,0,0.0,0,0,0.0,0,0,3,3,0,-22
5,T. Tarpey,ASM,G,-1.80,4.6,−0.3,1,3,0,0,1,0,0,0,0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,-7
6,A. Pokusevski,PAR,F,-1.80,5.6,−0.4,1,7,0,0,2,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0,3,0,10
7,R. Holmes,PAO,C,-1.80,12.5,−0.6,1,14,0,4,2,0,0,0,0,2,4,50.0,0,0,0.0,0,2,0.0,1,1,1,5,2,9
8,L. Samanic,BKN,C,-3.00,9.3,−0.5,1,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,2,0,-6
9,M. Ajinca,ASV,F,-4.00,4.7,−0.4,1,6,1,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,1,2,0,-8
10,K. Sloukas,PAO,G,-4.50,12.0,−0.8,1,12,0,2,1,1,0,0,2,1,6,16.7,0,3,0.0,0,0,0.0,0,1,1,2,1,-10
