Player,Fantasy price
Mamadi Diakite BKN,8.5
Terry Tarpey ASM,4.1
Zsombor Maronka HAM,5.6
Nick Calathes PAR,6.3
Jeremy Morgan PRS,7.8
Nikola Milutinov OLY,14.9
Brandon Boston Jr. FBB,11.4
Nico Mannion EA7,6.3
David Kramer RMB,6.0
Neal Sako VBC,8.8
Awudu Abass DUB,5.2
Harrison Cleary NEP,8.6
Nemanja Nedovic ASM,6.7
Ognjen Dobric CZV,4.4
Ajdin Penava WRO,7.1
Bodian Massa ASV,6.8
Chasson Randle LON,9.7
Rodions Kurucs BKN,6.2
Vassilis Toliopoulos PAO,6.5
Marcio Santos MTA,6.7
Dario Brizuela BAR,6.4
Ismael Kamagate BSK,11.9
Niels Giffey BAY,5.3
Martynas Pacevicius NEP,9.5
Sergio Llull RMB,4.6
Cassius Winston HJE,11.7
Chris Jones HTA,10.6
David McCormack VIR,7.9
Dovis Bickauskis PNV,7.9
Jared Butler CZV,9.4
Nando De Colo ASV,13.0
Nimrod Levi HJE,4.4
Tyler Wahl PNO,9.3
Moses Wright ZAL,12.4
Brynton Lemar BSK,8.8
Tarik Phillip LON,9.9
Diego Garavaglia ULM,6.5
Ismet Akpinar BAH,5.0
Mouhamed Faye PRS,7.0
Bastien Vautier ASV,6.1
Rafa Villar BKN,4.0
Laurynas Birutis ZAL,6.8
Collin Malcolm HTA,8.9
Rodrigue Beaubois EFS,6.3
Mitar Bosnjakovic PAR,4.0
Canberk Kus BSK,4.0
Carl Wheatle REY,6.6
Will Rayman MTA,4.0
Brancou Badio VBC,8.5
Ignas Brazdeikis ZAL,6.6
Khalifa Diop BKN,6.0
Marcis Steinbergs MAN,6.7
Nelson Martin HAM,4.0
Onuralp Bitim FBB,5.3
Willy Hernangomez BAR,10.8
Mindaugas Girdziunas NEP,5.4
Leonardo Candi REY,5.5
J.P. Tokoto HAM,9.2
Armando Bacot FBB,9.9
Juani Marcos BAR,5.0
Allan Julien Dokossi PRS,7.4
Theo Maledon RMB,13.2
Jordan Tucker NEP,6.1
Maodo Lo ZAL,9.4
Skylar Mays BUD,13.2
Gur Lavy MTA,5.6
T.J. Leaf MTA,11.3
Daniel Hackett VIR,5.3
Alexandros Samodurov PAO,4.0
Nicola Akele VIR,4.2
Khem Birch FBB,5.5
Amedeo Tessitori REY,8.3
David Mutaf EFS,4.2
Devonte Graham CZV,11.2
Isaiah Canaan CZV,5.7
Josiah-Jordan James HJE,6.5
Justin Anderson DUB,6.4
Michael Flowers,10.9
Nate Mason DUB,8.9
Panagiotis Kalaitzakis PAO,4.0
Scottie Wilbekin FBB,8.8
Youssoupha Fall BAR,6.8
Giorgos Gkiouzelis ARI,4.0
Richaun Holmes PAO,11.8
Yvann Mbaya BOU,6.9
Ovie Soko LON,6.7
Taran Armstrong DUB,8.0
Kostas Papanikolaou OLY,6.6
Gabriele Procida RMB,6.6
Clement Frisch BKN,6.8
Dmytro Skapintsev HJE,8.5
Leonardo Tote EA7,5.6
Saulius Kulvietis,6.9
Miikka Muurinen PAR,5.7
Benedikt Turudic HAM,4.1
Mehdy Ngouama ASV,4.9
Nemanja Dangubic DUB,4.0
Arturs Zagars FBB,6.7
James Thompson IV BUD,8.7
Cameron Houindo OLP,4.0
Yoan Makoundou ASM,6.7
Ismael Bako PRS,6.7
