Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
141,TADAS SEDEKERSKIS,BKN,25,21,24:24,7.4,2,3.2,60.5%,0.8,1.8,44.4%,1,1.4,74.3%,1.4,3.4,4.8,1.7,0.3,0.9,0.2,0.4,0.8,1.9,11.5
142,NIKOLA KALINIC,CZV,35,35,27:11,9,2,3.5,57.7%,1.1,2.6,43.5%,1.5,2.3,67.5%,1.3,2.9,4.1,2.6,0.8,1.7,0.1,0.3,2.3,2.7,11.6
143,SHABAZZ NAPIER,BAY,33,3,20:36,10.3,1.5,2.7,54.4%,1.6,3.9,41.1%,2.5,2.7,94.4%,0.5,1.8,2.3,3.2,1.1,1.9,0,0.3,2.1,2.5,11.6
144,JAN VESELY,BAR,24,13,21:10,9,3.3,6,55.9%,0.3,0.6,50%,1.5,1.9,76.1%,1.1,2.5,3.6,1.9,1.1,0.9,0.5,0,2.3,2.2,11.6
145,TRENT FORREST,BKN,34,28,24:46,9.7,3.2,6.1,52.2%,0.6,1.7,32.8%,1.6,1.9,81.8%,0.4,2.4,2.8,4.7,0.8,1.9,0.2,0.5,1.9,2.2,11.6
146,TAMIR BLATT,MTA,26,23,24:11,8.9,0.7,1.4,45.9%,2,5.7,35.6%,1.5,1.5,95%,0.4,2,2.4,6.7,0.5,2.9,0,0.2,1.3,2.1,11.7
147,DARIUS THOMPSON,EFS,39,36,26:19,9.5,1.9,3.4,55.6%,1.5,3.5,44.1%,1.1,1.4,79.2%,0.6,1.4,2,4.5,0.9,1.2,0.4,0.2,1.9,1.5,11.7
148,CHIMEZIE METU,BAR,24,2,20:02,11,3.7,5.9,62.4%,0.8,2.3,36.4%,1.1,1.5,75%,1,3.8,4.8,1,0.6,1.7,0.6,0.2,2,1.8,11.8
149,MARKO GUDURIC,FBB,36,25,22:02,10.9,2.2,3.7,58.2%,1.3,3.5,38.4%,2.5,2.9,88.3%,0.4,2.2,2.6,3.1,0.7,2,0.1,0.3,2.4,3.2,11.9
150,ROMAN SORKIN,MTA,33,23,23:21,12.9,4,6.9,57.7%,0.9,2.8,34.1%,2.2,2.6,84.7%,1.7,2.4,4.1,1.1,0.5,1.5,0.5,0.4,2.5,2.3,11.9
151,LEVI RANDOLPH,MTA,33,33,27:43,12,3.2,6.7,48.2%,1,2.5,39%,2.6,2.8,91.5%,1.2,2.6,3.8,1.8,0.6,1.2,0,0.3,2.2,2.9,12.2
152,KOSTAS SLOUKAS,PAO,39,2,21:44,9.1,1.1,2.5,45.4%,1.3,3.6,36.6%,2.9,3.1,94.1%,0.4,1.6,2,4.8,0.8,1.6,0.1,0.3,1.6,2.8,12.2
153,ALPHA DIALLO,ASM,35,27,26:33,11.5,3.7,6.1,60.6%,0.9,2.1,44%,1.3,2,66.7%,1.5,2.5,4,1.7,1,1.2,0.3,0.4,3,2.5,12.2
154,NEAL SAKO,ASV,33,27,21:58,9,3.8,5.6,68.1%,0,0,0%,1.4,2.4,57%,2.7,3.4,6.2,0.8,0.8,0.9,0.5,0.4,2.8,2.1,12.4
155,JABARI PARKER,BAR,39,38,27:12,13.8,3.4,6.1,55.7%,1.9,5,38.3%,1.3,1.6,79.4%,1,3,4,1.7,0.8,1.5,0.2,0.3,1.9,1.7,12.4
156,DZANAN MUSA,RMB,35,23,21:47,12.2,2.6,4.8,53.3%,1.3,3.5,37.2%,3.2,3.9,81.2%,0.5,2.4,2.9,2,0.4,1.7,0.1,0.3,1.3,3.2,12.5
157,EVAN FOURNIER,OLY,37,36,25:47,16.1,2.9,5.7,50.7%,2.5,6.9,35.8%,2.9,4,73.5%,0.6,1.6,2.2,2.6,1.1,1.8,0.1,0.3,2,3,12.6
